codec	image	setting	bytes	bpp	psnr_db	ssim
c2d	kodim01.png	ratio=2	591793	12.0401	45.412	0.99480
c2d	kodim01.png	ratio=3	390426	7.9432	38.429	0.97856
c2d	kodim01.png	ratio=5	232279	4.7257	32.814	0.93273
c2d	kodim01.png	ratio=8	143430	2.9181	29.454	0.86490
c2d	kodim01.png	ratio=12	95273	1.9383	27.286	0.79231
c2d	kodim01.png	ratio=20	56331	1.1461	25.079	0.68459
c2d	kodim01.png	ratio=30	37619	0.7654	23.744	0.60081
c2d	kodim01.png	ratio=40	28239	0.5745	22.857	0.53523
c2d	kodim01.png	ratio=50	21981	0.4472	22.147	0.47796
c2d	kodim01.png	ratio=60	18428	0.3749	21.680	0.43544
c2d	kodim01.png	ratio=80	13768	0.2801	21.032	0.38104
c2d	kodim01.png	ratio=120	9066	0.1844	20.030	0.30268
c2d-ycocg	kodim01.png	ratio=2	590931	12.0225	55.362	0.99950
c2d-ycocg	kodim01.png	ratio=3	391942	7.9741	49.147	0.99796
c2d-ycocg	kodim01.png	ratio=5	234682	4.7746	42.583	0.99163
c2d-ycocg	kodim01.png	ratio=8	146651	2.9836	36.975	0.97274
c2d-ycocg	kodim01.png	ratio=12	95678	1.9466	32.886	0.93618
c2d-ycocg	kodim01.png	ratio=20	57622	1.1723	29.276	0.86435
c2d-ycocg	kodim01.png	ratio=30	38049	0.7741	26.998	0.78613
c2d-ycocg	kodim01.png	ratio=40	28642	0.5827	25.672	0.72233
c2d-ycocg	kodim01.png	ratio=50	22663	0.4611	24.667	0.66768
c2d-ycocg	kodim01.png	ratio=60	18587	0.3782	23.901	0.62131
c2d-ycocg	kodim01.png	ratio=80	13899	0.2828	22.806	0.54433
c2d-ycocg	kodim01.png	ratio=120	9075	0.1846	21.342	0.41721
c2di-ycocg	kodim01.png	ratio=2	587630	11.9554	55.731	0.99946
c2di-ycocg	kodim01.png	ratio=3	390850	7.9519	49.523	0.99789
c2di-ycocg	kodim01.png	ratio=5	233563	4.7519	42.838	0.99144
c2di-ycocg	kodim01.png	ratio=8	140791	2.8644	37.090	0.97280
c2di-ycocg	kodim01.png	ratio=12	92591	1.8838	33.284	0.94040
c2di-ycocg	kodim01.png	ratio=20	52112	1.0602	29.419	0.86795
c2di-ycocg	kodim01.png	ratio=30	30930	0.6293	26.847	0.77801
c2di-ycocg	kodim01.png	ratio=40	22178	0.4512	25.509	0.71282
c2di-ycocg	kodim01.png	ratio=50	15636	0.3181	24.329	0.64450
c2di-ycocg	kodim01.png	ratio=60	11848	0.2410	23.475	0.59074
c2di-ycocg	kodim01.png	ratio=80	6841	0.1392	22.015	0.47744
c2di-ycocg	kodim01.png	ratio=120	2523	0.0513	20.167	0.31850
c2di-ycocg+bp	kodim01.png	ratio=2	716189	14.5709	70.906	0.99998
c2di-ycocg+bp	kodim01.png	ratio=3	495419	10.0793	53.871	0.99919
c2di-ycocg+bp	kodim01.png	ratio=5	292990	5.9609	46.952	0.99633
c2di-ycocg+bp	kodim01.png	ratio=8	170832	3.4756	40.469	0.98614
c2di-ycocg+bp	kodim01.png	ratio=12	112666	2.2922	36.125	0.96688
c2di-ycocg+bp	kodim01.png	ratio=20	63463	1.2912	31.520	0.91406
c2di-ycocg+bp	kodim01.png	ratio=30	38640	0.7861	28.646	0.84496
c2di-ycocg+bp	kodim01.png	ratio=40	28051	0.5707	27.181	0.79254
c2di-ycocg+bp	kodim01.png	ratio=50	19686	0.4005	25.821	0.72942
c2di-ycocg+bp	kodim01.png	ratio=60	14892	0.3030	24.901	0.67876
c2di-ycocg+bp	kodim01.png	ratio=80	9177	0.1867	23.475	0.59074
c2di-ycocg+bp	kodim01.png	ratio=120	4214	0.0857	21.451	0.42794
c2di-ycocg+bp+lo	kodim01.png	ratio=2	729220	14.8360	68.542	0.99997
c2di-ycocg+bp+lo	kodim01.png	ratio=3	483906	9.8451	52.889	0.99903
c2di-ycocg+bp+lo	kodim01.png	ratio=5	289356	5.8870	46.092	0.99576
c2di-ycocg+bp+lo	kodim01.png	ratio=8	172400	3.5075	39.475	0.98370
c2di-ycocg+bp+lo	kodim01.png	ratio=12	114294	2.3253	35.153	0.96065
c2di-ycocg+bp+lo	kodim01.png	ratio=20	62497	1.2715	30.683	0.90192
c2di-ycocg+bp+lo	kodim01.png	ratio=30	40357	0.8211	28.368	0.84317
c2di-ycocg+bp+lo	kodim01.png	ratio=40	26894	0.5472	26.566	0.78075
c2di-ycocg+bp+lo	kodim01.png	ratio=50	20191	0.4108	25.509	0.72999
c2di-ycocg+bp+lo	kodim01.png	ratio=60	16155	0.3287	24.843	0.69430
c2di-ycocg+bp+lo	kodim01.png	ratio=80	10540	0.2144	23.604	0.61497
c2di-ycocg+bp+lo	kodim01.png	ratio=120	4750	0.0966	21.756	0.46086
jpeg	kodim01.png	q=95	216020	4.3949	40.474	0.98816
jpeg	kodim01.png	q=85	124262	2.5281	34.752	0.96367
jpeg	kodim01.png	q=75	92491	1.8817	32.398	0.94237
jpeg	kodim01.png	q=60	70556	1.4355	30.622	0.91773
jpeg	kodim01.png	q=45	58005	1.1801	29.525	0.89644
jpeg	kodim01.png	q=30	45334	0.9223	28.211	0.86517
jpeg	kodim01.png	q=18	32739	0.6661	26.672	0.81319
jpeg	kodim01.png	q=10	21732	0.4421	24.773	0.72992
jpeg	kodim01.png	q=5	13430	0.2732	22.037	0.59129
jpeg2k	kodim01.png	r=2	510373	10.3836	200.000	1.00000
jpeg2k	kodim01.png	r=4	294571	5.9931	47.140	0.99655
jpeg2k	kodim01.png	r=8	147326	2.9974	39.728	0.98421
jpeg2k	kodim01.png	r=16	73692	1.4993	33.160	0.93956
jpeg2k	kodim01.png	r=32	36802	0.7487	28.947	0.85511
jpeg2k	kodim01.png	r=64	18155	0.3694	25.867	0.74813
jpeg2k	kodim01.png	r=128	9218	0.1875	23.953	0.64263
jpegxl	kodim01.png	d=0.5	179933	3.6607	41.391	0.99148
jpegxl	kodim01.png	d=1.0	124173	2.5263	38.072	0.98220
jpegxl	kodim01.png	d=1.5	94164	1.9158	35.404	0.96794
jpegxl	kodim01.png	d=2.5	61777	1.2569	31.950	0.93081
jpegxl	kodim01.png	d=4.0	39337	0.8003	29.079	0.87018
jpegxl	kodim01.png	d=6.0	26672	0.5426	27.376	0.80566
jpegxl	kodim01.png	d=9.0	18528	0.3770	25.878	0.73162
jpegxl	kodim01.png	d=14.0	11300	0.2299	24.205	0.62940
webp	kodim01.png	q=98	215804	4.3905	43.592	0.99401
webp	kodim01.png	q=90	136962	2.7865	39.632	0.98688
webp	kodim01.png	q=80	92628	1.8845	35.734	0.97006
webp	kodim01.png	q=65	68560	1.3949	33.158	0.94805
webp	kodim01.png	q=50	57012	1.1599	31.793	0.93047
webp	kodim01.png	q=35	45324	0.9221	30.297	0.90468
webp	kodim01.png	q=25	35604	0.7244	28.989	0.87120
webp	kodim01.png	q=15	26914	0.5476	27.797	0.82757
webp	kodim01.png	q=8	20192	0.4108	26.736	0.77638
webp	kodim01.png	q=3	14748	0.3000	25.720	0.71660
avif	kodim01.png	q=85	128177	2.6078	39.728	0.98493
avif	kodim01.png	q=70	88295	1.7964	36.194	0.96976
avif	kodim01.png	q=55	48723	0.9913	31.674	0.92629
avif	kodim01.png	q=40	25161	0.5119	28.334	0.84586
avif	kodim01.png	q=30	16046	0.3265	26.653	0.77567
avif	kodim01.png	q=22	10979	0.2234	25.434	0.71381
avif	kodim01.png	q=15	7476	0.1521	24.372	0.64550
avif	kodim01.png	q=10	6267	0.1275	23.923	0.61831
avif	kodim01.png	q=5	4151	0.0845	22.912	0.54691
heic	kodim01.png	q=85	273525	5.5649	44.149	0.99565
heic	kodim01.png	q=70	176824	3.5975	42.037	0.99238
heic	kodim01.png	q=55	112963	2.2982	38.431	0.98227
heic	kodim01.png	q=40	54659	1.1120	32.699	0.93824
heic	kodim01.png	q=30	28434	0.5785		
heic	kodim01.png	q=22	14585	0.2967		
heic	kodim01.png	q=15	8156	0.1659		
heic	kodim01.png	q=10	4495	0.0915		
heic	kodim01.png	q=5	3148	0.0640		
vvc	kodim01.png	qp=18	146847	2.9876		
vvc	kodim01.png	qp=24	104996	2.1361		
vvc	kodim01.png	qp=30	62181	1.2651		
vvc	kodim01.png	qp=36	28990	0.5898		
vvc	kodim01.png	qp=42	12086	0.2459		
vvc	kodim01.png	qp=48	3869	0.0787	23.541	0.57802
vvc	kodim01.png	qp=54	1573	0.0320	21.780	0.44818
vvc	kodim01.png	qp=60	721	0.0147	19.981	0.32404
c2d	kodim02.png	ratio=2	594119	12.0874	52.040	0.99697
c2d	kodim02.png	ratio=3	392416	7.9837	45.513	0.98689
c2d	kodim02.png	ratio=5	231495	4.7098	40.311	0.96100
c2d	kodim02.png	ratio=8	145632	2.9629	37.106	0.92588
c2d	kodim02.png	ratio=12	96038	1.9539	34.915	0.88628
c2d	kodim02.png	ratio=20	57170	1.1631	32.726	0.82897
c2d	kodim02.png	ratio=30	37429	0.7615	31.242	0.78022
c2d	kodim02.png	ratio=40	28171	0.5731	30.325	0.74766
c2d	kodim02.png	ratio=50	22142	0.4505	29.568	0.71966
c2d	kodim02.png	ratio=60	18324	0.3728	28.941	0.69968
c2d	kodim02.png	ratio=80	13689	0.2785	27.966	0.66932
c2d	kodim02.png	ratio=120	8997	0.1830	26.533	0.62706
c2d-ycocg	kodim02.png	ratio=2	589375	11.9909	56.542	0.99903
c2d-ycocg	kodim02.png	ratio=3	392743	7.9904	49.777	0.99533
c2d-ycocg	kodim02.png	ratio=5	233749	4.7556	44.282	0.98456
c2d-ycocg	kodim02.png	ratio=8	145816	2.9666	40.371	0.96409
c2d-ycocg	kodim02.png	ratio=12	96439	1.9621	37.552	0.93621
c2d-ycocg	kodim02.png	ratio=20	57230	1.1643	34.635	0.88696
c2d-ycocg	kodim02.png	ratio=30	38288	0.7790	32.760	0.83879
c2d-ycocg	kodim02.png	ratio=40	27857	0.5668	31.403	0.79634
c2d-ycocg	kodim02.png	ratio=50	22572	0.4592	30.586	0.76749
c2d-ycocg	kodim02.png	ratio=60	18562	0.3776	29.846	0.74099
c2d-ycocg	kodim02.png	ratio=80	13735	0.2794	28.667	0.70072
c2d-ycocg	kodim02.png	ratio=120	9066	0.1844	27.100	0.64798
c2di-ycocg	kodim02.png	ratio=2	582336	11.8477	58.594	0.99922
c2di-ycocg	kodim02.png	ratio=3	388949	7.9132	51.107	0.99595
c2di-ycocg	kodim02.png	ratio=5	237242	4.8267	45.950	0.98753
c2di-ycocg	kodim02.png	ratio=8	145531	2.9608	41.659	0.96915
c2di-ycocg	kodim02.png	ratio=12	91420	1.8599	38.473	0.94221
c2di-ycocg	kodim02.png	ratio=20	54462	1.1080	35.534	0.89961
c2di-ycocg	kodim02.png	ratio=30	32915	0.6697	33.192	0.84723
c2di-ycocg	kodim02.png	ratio=40	22180	0.4513	31.691	0.80243
c2di-ycocg	kodim02.png	ratio=50	16001	0.3255	30.615	0.76588
c2di-ycocg	kodim02.png	ratio=60	11795	0.2400	29.651	0.73088
c2di-ycocg	kodim02.png	ratio=80	6788	0.1381	27.988	0.67491
c2di-ycocg	kodim02.png	ratio=120	1900	0.0387	25.016	0.58753
c2di-ycocg+bp	kodim02.png	ratio=2	741499	15.0858	82.027	1.00000
c2di-ycocg+bp	kodim02.png	ratio=3	500350	10.1796	55.927	0.99860
c2di-ycocg+bp	kodim02.png	ratio=5	291295	5.9264	48.988	0.99356
c2di-ycocg+bp	kodim02.png	ratio=8	173649	3.5329	44.215	0.98183
c2di-ycocg+bp	kodim02.png	ratio=12	111545	2.2694	40.829	0.96368
c2di-ycocg+bp	kodim02.png	ratio=20	62892	1.2795	37.363	0.92841
c2di-ycocg+bp	kodim02.png	ratio=30	38102	0.7752	34.837	0.88593
c2di-ycocg+bp	kodim02.png	ratio=40	25798	0.5249	33.192	0.84723
c2di-ycocg+bp	kodim02.png	ratio=50	18705	0.3806	32.002	0.81207
c2di-ycocg+bp	kodim02.png	ratio=60	14423	0.2934	31.152	0.78400
c2di-ycocg+bp	kodim02.png	ratio=80	9458	0.1924	29.919	0.73966
c2di-ycocg+bp	kodim02.png	ratio=120	3989	0.0812	27.543	0.65869
c2di-ycocg+bp+lo	kodim02.png	ratio=2	754240	15.3451	77.510	0.99999
c2di-ycocg+bp+lo	kodim02.png	ratio=3	498488	10.1418	54.887	0.99830
c2di-ycocg+bp+lo	kodim02.png	ratio=5	291957	5.9399	48.430	0.99304
c2di-ycocg+bp+lo	kodim02.png	ratio=8	176258	3.5860	43.603	0.98042
c2di-ycocg+bp+lo	kodim02.png	ratio=12	112759	2.2941	40.198	0.96112
c2di-ycocg+bp+lo	kodim02.png	ratio=20	64088	1.3039	36.804	0.92432
c2di-ycocg+bp+lo	kodim02.png	ratio=30	38718	0.7877	34.276	0.87359
c2di-ycocg+bp+lo	kodim02.png	ratio=40	27593	0.5614	32.991	0.84141
c2di-ycocg+bp+lo	kodim02.png	ratio=50	19316	0.3930	31.779	0.80254
c2di-ycocg+bp+lo	kodim02.png	ratio=60	15693	0.3193	31.117	0.78222
c2di-ycocg+bp+lo	kodim02.png	ratio=80	9526	0.1938	29.799	0.73585
c2di-ycocg+bp+lo	kodim02.png	ratio=120	4116	0.0837	27.168	0.65478
jpeg	kodim02.png	q=95	149268	3.0369	40.151	0.96733
jpeg	kodim02.png	q=85	76931	1.5652	36.528	0.93148
jpeg	kodim02.png	q=75	54646	1.1118	34.852	0.90779
jpeg	kodim02.png	q=60	39903	0.8118	33.496	0.88085
jpeg	kodim02.png	q=45	31347	0.6378	32.526	0.85784
jpeg	kodim02.png	q=30	23358	0.4752	31.368	0.82567
jpeg	kodim02.png	q=18	16216	0.3299	29.737	0.77752
jpeg	kodim02.png	q=10	11338	0.2307	27.848	0.71075
jpeg	kodim02.png	q=5	8588	0.1747	23.624	0.61746
jpeg2k	kodim02.png	r=2	450329	9.1620	200.000	1.00000
jpeg2k	kodim02.png	r=4	294781	5.9973	50.924	0.99644
jpeg2k	kodim02.png	r=8	147139	2.9936	43.271	0.97964
jpeg2k	kodim02.png	r=16	73698	1.4994	39.171	0.95175
jpeg2k	kodim02.png	r=32	36623	0.7451	35.531	0.90192
jpeg2k	kodim02.png	r=64	18447	0.3753	32.763	0.84485
jpeg2k	kodim02.png	r=128	9222	0.1876	30.736	0.78320
jpegxl	kodim02.png	d=0.5	149783	3.0473	41.895	0.97732
jpegxl	kodim02.png	d=1.0	90190	1.8349	39.063	0.95756
jpegxl	kodim02.png	d=1.5	63478	1.2915	37.111	0.93611
jpegxl	kodim02.png	d=2.5	38353	0.7803	34.529	0.89123
jpegxl	kodim02.png	d=4.0	23610	0.4803	32.676	0.84286
jpegxl	kodim02.png	d=6.0	15073	0.3067	31.345	0.79670
jpegxl	kodim02.png	d=9.0	9945	0.2023	29.975	0.74098
jpegxl	kodim02.png	d=14.0	6193	0.1260	28.390	0.67890
webp	kodim02.png	q=98	163406	3.3245	42.220	0.98065
webp	kodim02.png	q=90	82302	1.6744	39.299	0.96054
webp	kodim02.png	q=80	43434	0.8837	36.357	0.92340
webp	kodim02.png	q=65	27940	0.5684	34.560	0.88996
webp	kodim02.png	q=50	21974	0.4471	33.408	0.86239
webp	kodim02.png	q=35	16374	0.3331	32.459	0.83870
webp	kodim02.png	q=25	12672	0.2578	31.675	0.81552
webp	kodim02.png	q=15	9214	0.1875	30.786	0.78531
webp	kodim02.png	q=8	6724	0.1368	29.968	0.75353
webp	kodim02.png	q=3	4990	0.1015	29.098	0.72165
avif	kodim02.png	q=85	90958	1.8505	40.774	0.96638
avif	kodim02.png	q=70	57923	1.1784	38.286	0.94361
avif	kodim02.png	q=55	33496	0.6815	35.694	0.90876
avif	kodim02.png	q=40	15072	0.3066	32.988	0.84490
avif	kodim02.png	q=30	8996	0.1830	31.590	0.79966
avif	kodim02.png	q=22	6066	0.1234	30.641	0.76629
avif	kodim02.png	q=15	4241	0.0863	29.812	0.73651
avif	kodim02.png	q=10	3591	0.0731	29.406	0.72229
avif	kodim02.png	q=5	2760	0.0562	28.731	0.69969
heic	kodim02.png	q=85	261005	5.3102	42.035	0.98716
heic	kodim02.png	q=70	153164	3.1161	41.014	0.98062
heic	kodim02.png	q=55	79894	1.6254	38.865	0.96199
heic	kodim02.png	q=40	28092	0.5715	34.840	0.90067
heic	kodim02.png	q=30	11934	0.2428		
heic	kodim02.png	q=22	5637	0.1147		
heic	kodim02.png	q=15	3514	0.0715		
heic	kodim02.png	q=10	2208	0.0449		
heic	kodim02.png	q=5	1665	0.0339		
vvc	kodim02.png	qp=18	131344	2.6722		
vvc	kodim02.png	qp=24	82712	1.6828		
vvc	kodim02.png	qp=30	39865	0.8111		
vvc	kodim02.png	qp=36	15346	0.3122		
vvc	kodim02.png	qp=42	5965	0.1214		
vvc	kodim02.png	qp=48	2112	0.0430	29.088	0.71619
vvc	kodim02.png	qp=54	964	0.0196	27.368	0.65939
vvc	kodim02.png	qp=60	566	0.0115	25.250	0.59554
c2d	kodim03.png	ratio=2	590023	12.0040	54.839	0.99805
c2d	kodim03.png	ratio=3	393068	7.9970	48.414	0.99227
c2d	kodim03.png	ratio=5	233267	4.7458	42.822	0.97901
c2d	kodim03.png	ratio=8	145401	2.9582	39.123	0.95927
c2d	kodim03.png	ratio=12	96643	1.9662	36.565	0.93536
c2d	kodim03.png	ratio=20	57515	1.1701	33.878	0.89574
c2d	kodim03.png	ratio=30	37966	0.7724	32.171	0.85849
c2d	kodim03.png	ratio=40	28194	0.5736	31.026	0.82950
c2d	kodim03.png	ratio=50	22071	0.4490	30.093	0.80409
c2d	kodim03.png	ratio=60	18439	0.3751	29.312	0.78293
c2d	kodim03.png	ratio=80	13567	0.2760	27.965	0.74714
c2d	kodim03.png	ratio=120	8904	0.1812	26.047	0.69594
c2d-ycocg	kodim03.png	ratio=2	590191	12.0075	60.556	0.99949
c2d-ycocg	kodim03.png	ratio=3	390507	7.9449	52.505	0.99689
c2d-ycocg	kodim03.png	ratio=5	234050	4.7618	47.083	0.99070
c2d-ycocg	kodim03.png	ratio=8	146030	2.9710	43.003	0.98113
c2d-ycocg	kodim03.png	ratio=12	96728	1.9679	40.092	0.96847
c2d-ycocg	kodim03.png	ratio=20	57815	1.1762	36.674	0.94262
c2d-ycocg	kodim03.png	ratio=30	37969	0.7725	34.331	0.91121
c2d-ycocg	kodim03.png	ratio=40	28096	0.5716	32.669	0.88178
c2d-ycocg	kodim03.png	ratio=50	22514	0.4580	31.688	0.85908
c2d-ycocg	kodim03.png	ratio=60	18365	0.3736	30.746	0.83460
c2d-ycocg	kodim03.png	ratio=80	13747	0.2797	29.373	0.79570
c2d-ycocg	kodim03.png	ratio=120	9133	0.1858	27.267	0.73807
c2di-ycocg	kodim03.png	ratio=2	599643	12.1998	70.814	0.99994
c2di-ycocg	kodim03.png	ratio=3	385740	7.8479	54.837	0.99785
c2di-ycocg	kodim03.png	ratio=5	231774	4.7155	49.604	0.99314
c2di-ycocg	kodim03.png	ratio=8	146691	2.9844	45.872	0.98524
c2di-ycocg	kodim03.png	ratio=12	95854	1.9502	42.784	0.97506
c2di-ycocg	kodim03.png	ratio=20	54658	1.1120	38.800	0.95191
c2di-ycocg	kodim03.png	ratio=30	33573	0.6830	35.809	0.92290
c2di-ycocg	kodim03.png	ratio=40	22627	0.4603	33.696	0.89168
c2di-ycocg	kodim03.png	ratio=50	15817	0.3218	32.002	0.85786
c2di-ycocg	kodim03.png	ratio=60	12484	0.2540	31.029	0.83331
c2di-ycocg	kodim03.png	ratio=80	6849	0.1393	28.656	0.76873
c2di-ycocg	kodim03.png	ratio=120	2273	0.0462	24.837	0.66560
c2di-ycocg+bp	kodim03.png	ratio=2	741224	15.0802	200.000	1.00000
c2di-ycocg+bp	kodim03.png	ratio=3	483944	9.8459	63.496	0.99968
c2di-ycocg+bp	kodim03.png	ratio=5	270926	5.5120	52.366	0.99628
c2di-ycocg+bp	kodim03.png	ratio=8	156131	3.1765	48.067	0.99046
c2di-ycocg+bp	kodim03.png	ratio=12	96270	1.9586	44.837	0.98228
c2di-ycocg+bp	kodim03.png	ratio=20	54584	1.1105	41.017	0.96674
c2di-ycocg+bp	kodim03.png	ratio=30	33210	0.6757	37.652	0.94227
c2di-ycocg+bp	kodim03.png	ratio=40	24532	0.4991	35.809	0.92290
c2di-ycocg+bp	kodim03.png	ratio=50	17728	0.3607	34.042	0.89741
c2di-ycocg+bp	kodim03.png	ratio=60	14405	0.2931	32.987	0.87844
c2di-ycocg+bp	kodim03.png	ratio=80	9338	0.1900	31.029	0.83331
c2di-ycocg+bp	kodim03.png	ratio=120	3871	0.0788	27.759	0.74154
c2di-ycocg+bp+lo	kodim03.png	ratio=2	722938	14.7082	96.061	1.00000
c2di-ycocg+bp+lo	kodim03.png	ratio=3	482943	9.8255	60.945	0.99949
c2di-ycocg+bp+lo	kodim03.png	ratio=5	282288	5.7432	52.158	0.99628
c2di-ycocg+bp+lo	kodim03.png	ratio=8	166980	3.3972	47.812	0.99054
c2di-ycocg+bp+lo	kodim03.png	ratio=12	102186	2.0790	44.401	0.98252
c2di-ycocg+bp+lo	kodim03.png	ratio=20	56425	1.1480	40.235	0.96581
c2di-ycocg+bp+lo	kodim03.png	ratio=30	35457	0.7214	37.093	0.94208
c2di-ycocg+bp+lo	kodim03.png	ratio=40	25437	0.5175	35.242	0.92112
c2di-ycocg+bp+lo	kodim03.png	ratio=50	19169	0.3900	33.781	0.89618
c2di-ycocg+bp+lo	kodim03.png	ratio=60	15172	0.3087	32.827	0.87760
c2di-ycocg+bp+lo	kodim03.png	ratio=80	9633	0.1960	31.052	0.83723
c2di-ycocg+bp+lo	kodim03.png	ratio=120	4452	0.0906	27.848	0.75082
jpeg	kodim03.png	q=95	117397	2.3884	42.211	0.97886
jpeg	kodim03.png	q=85	61911	1.2596	38.680	0.96296
jpeg	kodim03.png	q=75	45570	0.9271	36.856	0.95007
jpeg	kodim03.png	q=60	34494	0.7018	35.277	0.93419
jpeg	kodim03.png	q=45	28271	0.5752	34.190	0.91990
jpeg	kodim03.png	q=30	22020	0.4480	32.861	0.89937
jpeg	kodim03.png	q=18	16376	0.3332	31.114	0.86750
jpeg	kodim03.png	q=10	11902	0.2421	28.561	0.81911
jpeg	kodim03.png	q=5	8923	0.1815	25.164	0.74009
jpeg2k	kodim03.png	r=2	397680	8.0908	200.000	1.00000
jpeg2k	kodim03.png	r=4	294871	5.9992	51.970	0.99634
jpeg2k	kodim03.png	r=8	147353	2.9979	45.934	0.98574
jpeg2k	kodim03.png	r=16	73685	1.4991	42.393	0.97433
jpeg2k	kodim03.png	r=32	36853	0.7498	38.330	0.95059
jpeg2k	kodim03.png	r=64	18442	0.3752	34.603	0.91395
jpeg2k	kodim03.png	r=128	9223	0.1876	31.673	0.86165
jpegxl	kodim03.png	d=0.5	110438	2.2469	41.829	0.98000
jpegxl	kodim03.png	d=1.0	63617	1.2943	39.759	0.97002
jpegxl	kodim03.png	d=1.5	47196	0.9602	38.235	0.96008
jpegxl	kodim03.png	d=2.5	30915	0.6290	36.073	0.93987
jpegxl	kodim03.png	d=4.0	20942	0.4261	34.177	0.91342
jpegxl	kodim03.png	d=6.0	14531	0.2956	32.669	0.88139
jpegxl	kodim03.png	d=9.0	10410	0.2118	31.312	0.84538
jpegxl	kodim03.png	d=14.0	6576	0.1338	29.452	0.79229
webp	kodim03.png	q=98	123080	2.5041	43.656	0.98389
webp	kodim03.png	q=90	54816	1.1152	40.778	0.97084
webp	kodim03.png	q=80	31698	0.6449	38.061	0.95289
webp	kodim03.png	q=65	22084	0.4493	36.152	0.93507
webp	kodim03.png	q=50	17928	0.3647	35.091	0.92191
webp	kodim03.png	q=35	13622	0.2771	33.834	0.90382
webp	kodim03.png	q=25	10860	0.2209	32.855	0.88564
webp	kodim03.png	q=15	8418	0.1713	31.886	0.86445
webp	kodim03.png	q=8	6656	0.1354	30.997	0.84151
webp	kodim03.png	q=3	5178	0.1053	30.138	0.81725
avif	kodim03.png	q=85	58671	1.1937	42.398	0.97683
avif	kodim03.png	q=70	37874	0.7705	40.282	0.96717
avif	kodim03.png	q=55	23264	0.4733	37.615	0.95098
avif	kodim03.png	q=40	12509	0.2545	34.689	0.91698
avif	kodim03.png	q=30	8272	0.1683	33.096	0.88759
avif	kodim03.png	q=22	6099	0.1241	31.940	0.86127
avif	kodim03.png	q=15	4593	0.0934	30.977	0.83566
avif	kodim03.png	q=10	4045	0.0823	30.493	0.82145
avif	kodim03.png	q=5	3254	0.0662	29.730	0.80024
heic	kodim03.png	q=85	211438	4.3017	43.716	0.99047
heic	kodim03.png	q=70	109029	2.2182	42.520	0.98505
heic	kodim03.png	q=55	46631	0.9487	40.393	0.97273
heic	kodim03.png	q=40	19590	0.3986	36.727	0.94493
heic	kodim03.png	q=30	10373	0.2110	33.998	0.91038
heic	kodim03.png	q=22	5965	0.1214	31.935	0.86779
heic	kodim03.png	q=15	3878	0.0789		
heic	kodim03.png	q=10	2568	0.0522		
heic	kodim03.png	q=5	2081	0.0423		
vvc	kodim03.png	qp=18	103467	2.1050		
vvc	kodim03.png	qp=24	55746	1.1342		
vvc	kodim03.png	qp=30	28634	0.5826		
vvc	kodim03.png	qp=36	13947	0.2838		
vvc	kodim03.png	qp=42	7122	0.1449		
vvc	kodim03.png	qp=48	2867	0.0583		
vvc	kodim03.png	qp=54	1648	0.0335		
vvc	kodim03.png	qp=60	903	0.0184		
c2d	kodim04.png	ratio=2	590621	12.0162	52.076	0.99737
c2d	kodim04.png	ratio=3	394356	8.0232	45.752	0.98924
c2d	kodim04.png	ratio=5	234685	4.7747	40.381	0.96669
c2d	kodim04.png	ratio=8	145551	2.9612	36.915	0.93449
c2d	kodim04.png	ratio=12	96706	1.9675	34.771	0.90122
c2d	kodim04.png	ratio=20	55966	1.1386	32.326	0.84688
c2d	kodim04.png	ratio=30	37057	0.7539	30.702	0.79939
c2d	kodim04.png	ratio=40	27747	0.5645	29.543	0.76064
c2d	kodim04.png	ratio=50	22288	0.4535	28.622	0.72827
c2d	kodim04.png	ratio=60	18239	0.3711	27.768	0.69903
c2d	kodim04.png	ratio=80	13447	0.2736	26.402	0.65617
c2d	kodim04.png	ratio=120	9102	0.1852	24.658	0.59986
c2d-ycocg	kodim04.png	ratio=2	581356	11.8277	58.583	0.99946
c2d-ycocg	kodim04.png	ratio=3	388687	7.9079	51.330	0.99696
c2d-ycocg	kodim04.png	ratio=5	233436	4.7493	45.753	0.99002
c2d-ycocg	kodim04.png	ratio=8	145100	2.9521	41.303	0.97480
c2d-ycocg	kodim04.png	ratio=12	96679	1.9669	38.249	0.95261
c2d-ycocg	kodim04.png	ratio=20	57343	1.1666	34.972	0.91112
c2d-ycocg	kodim04.png	ratio=30	37697	0.7669	32.888	0.86958
c2d-ycocg	kodim04.png	ratio=40	27903	0.5677	31.444	0.83135
c2d-ycocg	kodim04.png	ratio=50	22467	0.4571	30.441	0.80160
c2d-ycocg	kodim04.png	ratio=60	18453	0.3754	29.570	0.77165
c2d-ycocg	kodim04.png	ratio=80	13861	0.2820	28.168	0.72102
c2d-ycocg	kodim04.png	ratio=120	9084	0.1848	26.068	0.64462
c2di-ycocg	kodim04.png	ratio=2	585175	11.9054	60.207	0.99953
c2di-ycocg	kodim04.png	ratio=3	391020	7.9553	51.799	0.99695
c2di-ycocg	kodim04.png	ratio=5	238263	4.8475	46.651	0.99057
c2di-ycocg	kodim04.png	ratio=8	139796	2.8442	41.956	0.97456
c2di-ycocg	kodim04.png	ratio=12	94185	1.9162	39.102	0.95558
c2di-ycocg	kodim04.png	ratio=20	52954	1.0774	35.696	0.91722
c2di-ycocg	kodim04.png	ratio=30	31729	0.6455	33.285	0.87281
